Timestamp,Open,High,Low,Close,Volume
29/06/2020 01:00:00,9785.5,9830,9780.25,9822.5,5122
29/06/2020 01:30:00,9822,9836,9811.75,9826.5,2245
29/06/2020 02:00:00,9826.5,9835,9805,9805,2119
29/06/2020 02:30:00,9805.5,9840,9803.75,9826.75,2747
29/06/2020 03:00:00,9827.75,9835.5,9812.25,9821.25,2618
29/06/2020 03:30:00,9823,9845.25,9813.25,9843.75,2297
29/06/2020 04:00:00,9842.75,9874.5,9839.25,9867,4551
29/06/2020 04:30:00,9867.25,9882,9856.5,9879.5,4696
29/06/2020 05:00:00,9879.5,9881.25,9864.75,9868.75,3277
29/06/2020 05:30:00,9868.25,9869,9840.5,9845.75,3941
29/06/2020 06:00:00,9847,9854.75,9831.5,9846,2758
29/06/2020 06:30:00,9845.25,9850.5,9826.5,9833.5,3245
29/06/2020 07:00:00,9833.5,9849,9826.25,9841,2624
29/06/2020 07:30:00,9841,9845.5,9805.5,9812.5,4102
29/06/2020 08:00:00,9812.5,9850,9811.75,9844.75,3351
29/06/2020 08:30:00,9845,9848,9810.5,9811.75,3411
29/06/2020 09:00:00,9811.75,9839.75,9802.5,9837.5,4403
29/06/2020 09:30:00,9838.25,9847.5,9820.5,9836,2808
29/06/2020 10:00:00,9836,9879.5,9834.25,9869.25,6376
29/06/2020 10:30:00,9869.25,9871,9845,9858,3574
29/06/2020 11:00:00,9858,9858,9825,9842,4157
29/06/2020 11:30:00,9842.5,9858.75,9836,9854.75,2433
29/06/2020 12:00:00,9855.5,9856.5,9835.25,9847.5,2413
29/06/2020 12:30:00,9847.75,9864,9832.5,9855.5,2728
29/06/2020 13:00:00,9856.25,9864,9831.5,9844,3422
29/06/2020 13:30:00,9843.75,9853.75,9826,9851.5,2639
29/06/2020 14:00:00,9851.75,9853.75,9833.5,9849.25,2547
29/06/2020 14:30:00,9849,9888,9841.25,9877.5,4911
29/06/2020 15:00:00,9877.75,9879.75,9851,9854.5,6290
29/06/2020 15:30:00,9854.25,9859,9836.5,9847,7902
29/06/2020 16:00:00,9847.25,9852,9833.25,9836.5,9954
29/06/2020 16:30:00,9836.75,9850,9728.75,9792.25,72167
29/06/2020 17:00:00,9792,9855.75,9782,9840.5,46492
29/06/2020 17:30:00,9840.5,9889.5,9836,9858.75,38342
29/06/2020 18:00:00,9859.25,9894.25,9829.5,9890,29368
29/06/2020 18:30:00,9889.75,9903.5,9880,9893.25,23260
29/06/2020 19:00:00,9893.25,9923,9893.25,9918.25,19838
29/06/2020 19:30:00,9918.75,9928.25,9913.5,9919,12228
29/06/2020 20:00:00,9919.25,9922.75,9902.75,9910.25,10969
29/06/2020 20:30:00,9909.75,9939.25,9905.75,9926.75,11376
29/06/2020 21:00:00,9926.75,9932.25,9906.75,9911,10690
29/06/2020 21:30:00,9910.75,9924,9888,9895,15405
29/06/2020 22:00:00,9895.5,9901,9872.5,9895,17624
29/06/2020 22:30:00,9895.25,9952.25,9892.25,9951,28379
29/06/2020 23:00:00,9950.75,9976.75,9950.75,9973.75,13923
29/06/2020 23:30:00,9973.75,9997,9967.5,9986,4918
30/06/2020 01:00:00,9983,10001.5,9974.5,9994.75,2377
30/06/2020 01:30:00,9995.75,10008.5,9992.5,9998.5,2273
30/06/2020 02:00:00,9998.5,10001.5,9992.5,9995,1120
30/06/2020 02:30:00,9995.25,10006.75,9990,9994,1638
30/06/2020 03:00:00,9993.5,9997.75,9985,9990,2523
30/06/2020 03:30:00,9990.75,9999.5,9983.25,9991,1846
30/06/2020 04:00:00,9991,10017.5,9988,10011.25,3094
30/06/2020 04:30:00,10011.5,10022.75,9999.25,10004.75,2393
30/06/2020 05:00:00,10004.5,10014.25,10003.75,10009.75,1169
30/06/2020 05:30:00,10009.75,10012,10000,10003.25,2158
30/06/2020 06:00:00,10003.75,10015.5,10000,10011.75,1423
30/06/2020 06:30:00,10012,10013.5,10005,10008.5,1039
30/06/2020 07:00:00,10008.5,10013.5,10008.5,10010.5,744
30/06/2020 07:30:00,10010.5,10014,10009,10011.75,584
30/06/2020 08:00:00,10012.25,10028.25,10010,10014.75,2168
30/06/2020 08:30:00,10014.5,10017,9978.25,9980,4446
30/06/2020 09:00:00,9979.75,9992,9964.75,9980.75,4032
30/06/2020 09:30:00,9980.5,9992.5,9977.75,9985,1884
30/06/2020 10:00:00,9985.5,10004.75,9957,9970.5,6293
30/06/2020 10:30:00,9969.25,9980.5,9957,9974.25,3443
30/06/2020 11:00:00,9973.5,9979.75,9958.5,9971.75,3248
30/06/2020 11:30:00,9971.25,9979.5,9953.25,9963,3925
30/06/2020 12:00:00,9961.75,9975,9951,9969.5,3504
30/06/2020 12:30:00,9970,9981.5,9959.25,9978.25,3221
30/06/2020 13:00:00,9978.5,9984.75,9970,9980.25,3095
30/06/2020 13:30:00,9979.5,9981.5,9963.75,9964,2339
30/06/2020 14:00:00,9963.75,9975.75,9959.5,9973.25,3121
30/06/2020 14:30:00,9973,9993,9967.75,9971.5,5049
30/06/2020 15:00:00,9971.75,9973.75,9958,9959.75,3340
30/06/2020 15:30:00,9959.5,9961,9940.25,9950.75,7975
30/06/2020 16:00:00,9951,9956.75,9940.5,9949.5,8499
30/06/2020 16:30:00,9949.25,10035.5,9943.25,10023.75,53172
30/06/2020 17:00:00,10023.5,10047.25,10019,10026.75,32837
30/06/2020 17:30:00,10026.25,10067,10022.25,10062.25,28517
30/06/2020 18:00:00,10062.5,10087.5,10058.75,10071.5,24002
30/06/2020 18:30:00,10072,10081,10061.75,10077,15041
30/06/2020 19:00:00,10076.75,10103,10069.75,10094.25,14125
30/06/2020 19:30:00,10094,10099.25,10056.25,10064,18134
30/06/2020 20:00:00,10064.75,10075.75,10039,10067.5,15476
30/06/2020 20:30:00,10067.25,10073.75,10050.25,10069,10340
30/06/2020 21:00:00,10069.5,10082,10052,10081.75,14888
30/06/2020 21:30:00,10081.5,10101.25,10078,10100.75,12553
30/06/2020 22:00:00,10100.75,10111,10073.75,10104.25,19930
30/06/2020 22:30:00,10104.25,10171.5,10101,10131.5,48213
30/06/2020 23:00:00,10131.5,10150.5,10123.25,10132.25,12677
30/06/2020 23:30:00,10132.75,10145,10128.75,10139.25,2677
1/7/2020 1:00,10141,10146,10129.5,10144.75,1577
1/7/2020 1:30,10144.25,10148.5,10132,10133.5,1064
